                [STATISTICS]
        most to least similar:
572 estonian_frisian : 0.614323
573 spanish_malayalam : 0.614306
574 azerbaijani_gaelic : 0.614298
575 galician_lithuanian : 0.614213
576 icelandic_marathi : 0.614212
577 croatian_malagasy : 0.613852
578 persian_gaelic : 0.613838
579 finnish_croatian : 0.613714
580 bashkir_english : 0.613591
581 afrikaans_icelandic : 0.613582
582 bashkir_malagasy : 0.613553
583 spanish_frisian : 0.613493
584 greek_spanish : 0.613489
585 finnish_marathi : 0.613402
586 gaelic_macedonian : 0.613209
587 catalan_malayalam : 0.613203
588 bulgarian_punjabi : 0.613044
589 hungarian_norwegian : 0.612946
590 afrikaans_latvian : 0.612898
591 gaelic_punjabi : 0.612681
592 breton_gaelic : 0.612619
593 asturian_persian : 0.612474
594 punjabi_polish : 0.612444
595 french_indonesian : 0.612382
596 danish_punjabi : 0.612288
597 asturian_czech : 0.612097
598 bengali_macedonian : 0.611936
599 hindi_iloko : 0.611837
600 hungarian_armenian : 0.611718
601 bashkir_polish : 0.611631
602 catalan_nepali : 0.611626
603 afrikaans_indonesian : 0.611612
604 gujarati_korean : 0.611611
605 english_estonian : 0.611597
606 bengali_galician : 0.611566
607 mongolian_nepali : 0.611533
608 asturian_bashkir : 0.611423
609 catalan_persian : 0.611317
610 czech_punjabi : 0.611161
611 azerbaijani_armenian : 0.611134
612 hungarian_georgian : 0.611127
613 czech_iloko : 0.611119
614 iloko_georgian : 0.611097
615 welsh_nepali : 0.611065
616 greek_croatian : 0.611040
617 breton_persian : 0.610987
618 asturian_greek : 0.610914
619 korean_polish : 0.610845
620 irish_croatian : 0.610843
621 hausa_polish : 0.610723
622 persian_hindi : 0.610722
623 bulgarian_malayalam : 0.610557
624 asturian_nepali : 0.610450
625 greek_gujarati : 0.610268
626 irish_occitan : 0.610263
627 hausa_dutch : 0.610261
628 french_croatian : 0.610249
629 croatian_nepali : 0.610194
630 catalan_czech : 0.610194
631 afrikaans_malagasy : 0.610105
632 persian_indonesian : 0.610087
633 latvian_punjabi : 0.610036
634 english_macedonian : 0.610025
635 hungarian_malayalam : 0.609910
636 german_armenian : 0.609864
637 azerbaijani_hebrew : 0.609834
638 estonian_hungarian : 0.609785
639 bengali_irish : 0.609697
640 czech_english : 0.609689
641 frisian_hindi : 0.609649
642 afrikaans_persian : 0.609644
643 persian_hebrew : 0.609592
644 icelandic_italian : 0.609508
645 bashkir_malayalam : 0.609403
646 bashkir_spanish : 0.609347
647 breton_spanish : 0.609325
648 galician_icelandic : 0.609313
649 bashkir_hebrew : 0.609283
650 gaelic_galician : 0.609278
651 azerbaijani_nepali : 0.609221
652 bengali_punjabi : 0.609198
653 hungarian_latvian : 0.609043
654 spanish_punjabi : 0.609032
655 gujarati_croatian : 0.609008
656 frisian_latvian : 0.608978
657 breton_irish : 0.608963
658 persian_occitan : 0.608853
659 bashkir_french : 0.608671
660 azerbaijani_icelandic : 0.608651
661 afrikaans_asturian : 0.608647
662 javanese_malagasy : 0.608630
663 frisian_iloko : 0.608490
664 macedonian_punjabi : 0.608487
665 gaelic_hungarian : 0.608465
666 breton_iloko : 0.608464
667 catalan_danish : 0.608433
668 latvian_occitan : 0.608305
669 gujarati_macedonian : 0.608219
670 hausa_latvian : 0.608190
671 english_occitan : 0.608175
672 german_malagasy : 0.608110
673 asturian_georgian : 0.608109
674 latvian_malayalam : 0.607967
675 croatian_marathi : 0.607914
676 iloko_macedonian : 0.607885
677 bengali_estonian : 0.607840
678 greek_galician : 0.607836
679 amharic_nepali : 0.607828
680 croatian_icelandic : 0.607809
681 bengali_hindi : 0.607781
682 greek_malayalam : 0.607693
683 azerbaijani_punjabi : 0.607658
684 bengali_hungarian : 0.607563
685 haitian_punjabi : 0.607455
686 malagasy_occitan : 0.607452
687 georgian_malagasy : 0.607342
688 bashkir_armenian : 0.607197
689 irish_javanese : 0.606832
690 afrikaans_hebrew : 0.606810
691 german_irish : 0.606746
692 gaelic_hausa : 0.606617
693 greek_icelandic : 0.606402
694 galician_marathi : 0.606359
695 korean_malayalam : 0.606286
696 german_haitian : 0.606153
697 armenian_icelandic : 0.606018
698 english_icelandic : 0.605798
699 spanish_norwegian : 0.605724
700 german_estonian : 0.605451
701 hungarian_khmer : 0.605425
702 frisian_indonesian : 0.605386
703 bengali_polish : 0.605340
704 english_frisian : 0.605304
705 gujarati_italian : 0.605099
706 spanish_armenian : 0.605083
707 azerbaijani_iloko : 0.605052
708 lithuanian_malayalam : 0.605047
709 indonesian_malagasy : 0.605042
710 indonesian_nepali : 0.604947
711 estonian_norwegian : 0.604930
712 finnish_irish : 0.604587
713 icelandic_mongolian : 0.604512
714 asturian_lithuanian : 0.604492
715 danish_persian : 0.604412
716 danish_spanish : 0.604278
717 asturian_frisian : 0.604232
718 greek_armenian : 0.604164
719 english_iloko : 0.604137
720 catalan_georgian : 0.604106
721 azerbaijani_french : 0.604008
722 bashkir_hindi : 0.603993
723 spanish_mongolian : 0.603650
724 frisian_haitian : 0.603578
725 malagasy_nepali : 0.603552
726 irish_armenian : 0.603490
727 iloko_marathi : 0.603483
728 czech_nepali : 0.603445
729 french_hebrew : 0.603442
730 dutch_punjabi : 0.603256
731 bashkir_danish : 0.603146
732 gujarati_haitian : 0.603037
733 amharic_gujarati : 0.602915
734 azerbaijani_georgian : 0.602884
735 mongolian_punjabi : 0.602878
736 bengali_nepali : 0.602792
737 hindi_georgian : 0.602689
738 bengali_iloko : 0.602607
739 azerbaijani_malayalam : 0.602569
740 azerbaijani_haitian : 0.602524
741 bashkir_occitan : 0.602439
742 bengali_norwegian : 0.602282
743 malagasy_marathi : 0.602206
744 finnish_armenian : 0.602137
745 gujarati_dutch : 0.601941
746 hebrew_croatian : 0.601871
747 french_malayalam : 0.601815
748 haitian_polish : 0.601752
749 azerbaijani_latvian : 0.601654
750 english_persian : 0.601514
751 hindi_hungarian : 0.601403
752 czech_hindi : 0.601373
753 armenian_latvian : 0.601318
754 georgian_marathi : 0.601310
755 bulgarian_hebrew : 0.601275
756 hebrew_hindi : 0.601258
757 spanish_indonesian : 0.601108
758 amharic_spanish : 0.601036
759 irish_nepali : 0.601036
760 amharic_hindi : 0.600879
761 lithuanian_dutch : 0.600801
762 czech_icelandic : 0.600651
763 german_gujarati : 0.600627
764 persian_iloko : 0.600506
765 gaelic_icelandic : 0.600436
766 hebrew_iloko : 0.600303
767 irish_kannada : 0.600298
768 hindi_indonesian : 0.600290
769 greek_punjabi : 0.600228
770 macedonian_nepali : 0.600223
771 norwegian_occitan : 0.600191
772 bashkir_iloko : 0.600003
773 bulgarian_danish : 0.599900
774 amharic_marathi : 0.599752
775 irish_norwegian : 0.599745
